Algorithm,GG(195075),GG(50),GG(1),Linear,Staircase,Sigmoid,Geometric,Linear Reheat,Cosine
LBSA,12.921313612839244,2.0000826125820446,1.9938761555051285,2.741603155640912,2.5598715130517986,2.393126024294787,2.022485841282272,2.015088611198417,4.1472434501530815
HC(100),12.515415210535775,1.8683849945552817,1.865290936460721,2.6027695415796774,2.416054408755008,2.256813489022405,1.893185144949526,1.904109593326591,3.925063552039634
HC(200),12.440487459427857,1.860655238182653,1.8554540923435008,2.5842059389922536,2.3984117612116704,2.247492100080471,1.8787142722331285,1.8945321171181804,3.8941589163530854
HC(300),12.381330805872883,1.8477894722678627,1.8462319282933422,2.5737732115681924,2.398634602980778,2.2352697770788144,1.8696584893786894,1.8862248987237948,3.888796400993597
HC(400),12.374972765509131,1.842260648386584,1.8424172031848522,2.554161901651142,2.3914241395440463,2.227801141861074,1.8670755068501435,1.870713955196979,3.878315698346745
HC(500),12.360108061133829,1.8450033662227443,1.8303525583448714,2.563596554996831,2.3874736329674477,2.2221415847344663,1.8696450425323539,1.8745627272363043,3.8691405313692915
