TSP Name,OPT,GG(195075),GG(50),GG(1),Linear,Staircase,Sigmoid,Geometric,Linear Reheat,Cosine
a280,2579,28522.4820158364,4018.6877884492183,3996.6367602885,9648.1079955285,6957.7761630221,6775.9338162627,4362.0276364402,4614.771520152,14004.81175559437
berlin52,7542,20053.3913384736,7651.914124359857,7817.4018321467,7883.5246517553,8025.4596977891,7663.6557659031,7565.8702638999,7544.3659018979,8638.9570658941
bier127,118282,488602.9855076047,134664.8888847362,133461.6208866774,129471.9516952871,128461.3478904292,128812.4717306575,133040.9670858462,131661.5730136153,147196.0173260218
ch130,6110,36446.6156287975,7125.4518827054,7190.6083053569,9571.2477088456,8872.502903574525,7834.8026706888,7277.1395010823,7189.6416093761,13698.3070110117
ch150,6528,43467.8652921322,7885.4755648947,8100.3825900117,11362.7612133066,10732.13937561875,9295.148261549,8056.7584922349,8230.3425776591,16539.2038746285
d198,15780,142263.0926226456,18892.0625137646,19535.4807502291,25362.87247895338,23925.6008412702,21481.2619301362,19426.4097615972,19266.0789307977,38073.1081616957
d493,35002,389592.2692755447,60627.5196828812,60218.6928724077,96456.3809422605,93951.2425493263,78690.2141926812,62969.1989363926,61971.2363048642,173445.6090849918
d657,48912,765092.6229026229,114248.7504598512,114176.5200132261,178695.4517812307,172872.4136670929,150854.2206808824,116867.5736741193,115930.279200659,338311.5129457543
d1291,50801,1595880.8029545858,265511.9805864192,269200.0732895336,428308.2629155703,412968.3422389553,371271.4816580864,275272.606769749,274143.531930986,789907.3794240889
eil51,426,1104.6974387692,462.0966549132,433.54349477736,553.2495278352,447.0048296821,572.6492607957,434.9225462018,434.3435316662,590.4417840019
eil101,629,2619.9048224048,878.7140793605,729.2795520881,1189.8551394692372,792.3039490036,1127.2292136735,723.4426210581,760.5685624108,1378.250460135166
fl417,11861,410353.37846296415,21360.1779491627,21386.9534400926,42590.6478027448,39929.804710907,32183.3214825246,23179.5589716951,23215.6031652014,101472.889127612
kroA100,21282,120739.8158596374,25316.2540382177,25105.6138681841,26118.4218786527,25798.3488375785,24933.4947939107,24344.306413328,24388.4094914967,34346.9027555733
kroB100,22141,115660.4805595016,25837.0077322529,25707.0488886755,26030.0768535275,26870.7293909978,25457.4498917829,25496.2749731168,25347.6589947346,33600.5717092894
kroC100,20749,115786.1115391567,24523.99255621662,24701.3153891719,25227.2072995858,25400.3471487578,24740.2446894452,24439.0936276066,23830.648869595,32678.338005482903
kroD100,21294,115747.6876695542,24805.7760490813,25105.360066319,25766.5948192608,25252.3066624628,24751.2913583543,24556.8403535643,23427.0755679948,32956.0023573935
kroE100,22068,121644.74507032966,25781.7477359106,25522.3790950195,26284.7217050755,26751.7745038685,25086.7750198844,25303.2288311009,25358.0336613663,34483.54255817547
kroA150,26524,196375.0125992287,32878.0012359036,32983.8036511567,37595.8421377999,36633.1790657256,34407.7797283274,32477.8327526804,33542.3983251146,56246.2191653529
kroB150,26130,191631.76473299752,31376.2169799866,32401.1678150288,36963.5715838306,36051.8319041783,33766.1092684622,32488.4518230465,32169.0791270687,54136.7529245333
