TSP Name,OPT,GG(195075),GG(50),GG(1),Linear,Staircase,Sigmoid,Geometric,Linear Reheat,Cosine
kroA100,21282,120474.1082173331,25677.6929557654,25719.3998767203,26769.6929786825,25772.6726840976,25321.97236557359,24417.4820394054,24569.2051962825,34679.5195340265
kroB100,22141,118241.638164606,26271.8443879228,25422.1920291366,26643.9286214488,26791.9329606944,25988.2406199431,25713.3403663674,25068.8070563641,34480.4365909678
kroC100,20749,121057.09697752287,25357.2197817737,24994.6944448082,26174.6611898035,25065.3476905125,24649.3577533392,24814.4313210925,24390.8296280805,33941.88067411543
kroD100,21294,115641.8261838238,25564.981512716,24923.1722881678,26115.1503777495,25816.3619432121,24986.7930765076,25240.3918045077,24567.161477117465,33877.1673815103
kroE100,22068,118425.5065092732,26107.5978053252,25750.2155963369,26612.5364930694,26968.650175108,25579.2996431961,25877.7071356408,24905.973542395,33556.8092149186
kroA150,26524,195966.1747414905,33528.6718183384,33629.133012944,38446.0133718698,36299.0485735453,35205.7939130139,33044.3724812663,33207.0368425882,56284.0605880863
kroB150,26130,193034.3825484969,32040.9450632226,32178.6870810707,37102.9214353911,36904.1701698395,34529.3524367009,32064.7823872923,32636.69753501,53041.8278079515
kroA200,29368,263100.2578976456,39613.6196100533,39834.135234989,49765.6745312746,48801.4072357513,44407.6618000587,40027.1845964582,39981.5887431154,74042.248244686
kroB200,29437,263689.2857596049,39727.3326743551,39696.497131723,48616.326097183,48913.4325545962,44890.7865379402,40851.8669282891,40128.75681129945,78093.8701785727
lin105,14379,89259.0612041562,16797.7882458721,16530.8562387755,18544.46234066464,18264.0237359223,17575.8001164808,16758.4523877339,16413.4876755685,24824.2150960288
lin318,42029,500564.91626205767,68969.3570734525,69167.0406073104,89169.579227441,88312.0010511262,80577.3106271879,68193.4573893224,68432.3746270658,165718.5314419233
p654,34643,1660287.1643859989,85190.7046695956,91063.6005679484,134488.0363206716,127241.2144204029,116587.5804778352,85052.8167242147,89261.299919032,249325.05934794783
pcb442,50778,672554.2635211038,94112.6170034826,95084.2490892315,136393.2244370784,130827.1630497618,117701.3742220728,94143.2291276485,96228.2368452223,246124.1979515952
pcb1173,56892,1299609.5066331849,213615.9978144993,215294.3665644968,352328.2237878356,341037.9288842785,301388.8279505899,221834.29656203,225605.7083747731,651237.8769264774
pr107,44303,339936.8258396703,51764.9676319573,51255.2062900815,52830.2199033254,52684.7342493373,52072.1729946506,52311.0540221138,52685.8730593768,62446.1789017509
pr124,59030,493441.6735237547,72922.6091778696,76962.3162417856,76887.7757245305,76102.1534264699,76894.5469036677,76538.4476693448,74622.8346423566,91297.3286062084
pr136,96772,580236.3596261151,118637.5425528029,115378.4334517725,119438.9714392054,118929.4927409927,115840.1939846829,118964.6464979002,116514.2508974013,135816.1039708275
pr144,58537,578575.0236923058,74582.3504447599,73666.5852562629,76991.9766217319,78764.1934477496,76545.9776464732,74967.5631095181,76538.7571402418,86834.6832155586
pr152,73682,740820.9451727977,93237.6846848329,93380.0762455964,96205.4192175752,96999.9669521415,97208.0924567397,94798.9333360255,94827.32527906488,111814.4932880896
pr226,80369,1237778.06069451,120686.1378983787,120337.5134793561,125668.5261465068,132831.5540018894,130539.036522307,121749.0714980805,121460.6507219783,147008.4026557019
pr299,48191,611660.1651337072,79582.8392312648,79654.2134893677,101261.2117603954,97925.4538528082,90807.0405050309,80827.6673230821,79701.4283555121,171488.1536690592
rat99,1211,6148.2703792918,1361.6709574864,1385.3227952593,2179.0999571724,1622.0880715594,1795.8670993011,1396.0192475936,1429.9359883249,2666.5465562518
rat195,2323,18359.6267440805,3071.5778341633,3041.6443172171,6260.1392457059,4429.3607577236,4587.4052692911,3146.1524153402,3233.7959490509,8241.03659474626
rat575,6773,101007.2325623001,13923.4111119532,14158.6169314641,36112.3238863012,28883.9460713565,24155.97912319119,15437.2298623308,16288.3267308716,54424.57101681468
rat783,8806,162077.61675056265,22961.8773074062,23101.4690633659,59643.7322400194,50373.212903668,40445.0573396103,25805.5914637727,27072.79800292245,95430.942045612
rd100,7910,41931.8162747603,9114.2962967514,9320.8090410346,10683.3351272757,10224.4956557433,9394.8568328177,9135.6581718957,9017.8191683849,13663.6269720333
rd400,15281,186679.9744840956,26289.0558622939,26754.9463482055,49957.98182804504,45417.9442505844,36607.6110463872,27762.5951327652,28237.2995178325,83644.4469050789
st70,675,2589.33307279778,739.7013653087,715.5845499452,1049.1002802208,758.0153351808,943.5098712024,713.4137580651,724.0657413043,1193.9594152245
rl1304,252948,8082705.139748719,1466175.2468597707,1439422.827499143,1522714.2963755843,1511869.6022858073,1516155.3811421108,1444774.0666492963,1440527.4325574967,1723339.1333369166
rl1323,270199,8348687.978979124,1491248.1794988145,1498373.2214581545,1556279.023119193,1565697.750133833,1570656.344781956,1492655.180089005,1498379.3048306091,1751726.3748061634
ts225,126643,1224951.4209687277,192840.0251886779,195927.9806800635,194842.5950004777,197147.5560979567,198402.4554447103,195704.4250794338,188215.9087690125,237116.8335604818
tsp225,3919,34785.1459507644,5323.9660207617,5208.5350603039,10694.4659154536,8146.6564539022,7472.799283058,5612.1286483382,5721.1005827773,15849.0305792561
pr76,108159,388890.6195124596,117705.542214144,119562.2260515616,112694.0285978873,112125.6409469588,112686.4161577693,114773.2440337134,116585.1592219112,115467.6132949477
u159,42080,337646.1046379038,56234.4514416911,56521.5792030922,60488.3719408333,59517.6971301579,57936.9050837019,54853.8460420302,55456.9928139336,88969.3740159414
u574,36905,601144.9015350934,83136.3427898579,82495.2304105963,132338.2001741238,127303.0070823885,109895.6167656898,84288.9453200815,83591.8509213117,250532.1916837588
u724,41910,780150.0189719213,106888.5142617624,107441.7760241936,179879.2245369781,170287.6065373049,146050.1696972049,112433.3434501229,111610.5904074789,338289.0299312152
u1060,224094,5595939.958974954,819818.9425512722,814785.5554425828,904334.2940052936,900993.742287064,890439.9206171563,809634.7511627176,831823.6777458249,1123292.9188369582
vm1084,239297,7065254.6751986295,1024714.9248852356,1021590.7403635425,1058477.8464820911,1079391.8293020488,1083096.3745833256,1019535.3836984476,1018271.5180294804,1225497.746528644
