TSP Name,OPT,GG(195075),GG(50),GG(1),Linear,Staircase,Sigmoid,Geometric,Linear Reheat,Cosine
a280,2579,28924.377142003963,4070.8039856357,4055.9683803681,9949.6882376131,7017.1971820453,6847.960168104571,4363.1075074406,4723.8867567574,14047.4867003222
berlin52,7542,20290.448422427497,7729.659477694753,7822.3617207445,7883.8282894942,7928.1736866997,7656.61393575,7617.9267567825,7565.8702639023,8752.92042089457
bier127,118282,487748.3252390932,132867.4059373186,134120.9243660332,129216.9038605776,127582.5751496882,130778.5351700182,131607.6923160353,132310.714152621,147370.8430612341
ch130,6110,36685.5592197909,7237.4581514478,7211.5367478645,9792.2579411096,8754.5358964275,7895.3189039098,7201.3073167155,7343.2338218954,13854.8000912745
ch150,6528,43046.4804433471,8032.9133347495,7975.6875590266,11794.7578964111,10382.9199274445,9204.9043116853,8206.0260776656,8237.6073947645,16063.244211736825
d198,15780,142590.1567329631,19828.0926156943,19450.1949501834,25765.4805671989,24353.287846004,21167.8845476224,19521.8284022275,19761.9503346086,36741.1326592152
d493,35002,388230.526873281,61509.862274143,60763.3085268517,98671.8997989099,93899.666646022,80715.6719420604,63153.0415694613,64428.2448599329,173451.9753548824
d657,48912,771202.5273134682,113372.8645848939,113981.7855350943,182873.6666601629,173478.028001643,151418.2402752576,118564.4347406354,118798.2932130935,331611.4791090905
d1291,50801,1604664.8905362969,270360.5996461458,269697.2821669202,431661.8556044546,414406.2415138019,371492.4029267904,277365.6308746635,277019.8947791138,799898.419720372
eil51,426,1136.695158069,477.0946920937,437.691609831,559.5761931918,454.6480851155,589.0970977281,435.0695276103,438.5945765658,576.1283293227194
eil101,629,2621.728934161,869.4001443954,721.5774915439,1231.4840338758895,813.754380593,1206.7509286809377,734.7055017807,743.416497713,1373.8176074947
fl417,11861,409067.8359044436,22601.2017285695,22660.4541344746,43309.6057727177,40294.09248034321,32954.3359968175,22043.6420572347,22994.7536117326,102372.2466862204
