TSP Name,OPT,GG(195075),GG(50),GG(1),Linear,Staircase,Sigmoid,Geometric,Linear Reheat,Cosine
a280,2579,28950.5279651986,4091.0494939896,4028.8829095573,10004.105210415,6974.7616461895,6857.029645231,4252.2745713286,4652.6940303172,14251.550702683491
berlin52,7542,20260.28382413623,7730.1096881125,7793.1607067995,7738.4461768465,8008.6701106513,7617.5208856755,7544.662211254781,7544.3659019075,8641.5311513298
bier127,118282,466298.6657494648,132978.6515401348,134818.7859664178,130088.9962269149,130849.6109670612,128811.7578563706,128290.4636251724,129670.7020572853,146510.1923219798
ch130,6110,35905.1007455466,7072.094297865,7344.7887063512,9877.9166768977,9007.3349958803,7921.6164769143,7238.0856686328,7211.8285549098,13533.342767506
ch150,6528,43374.01709044564,7933.3892966742,7814.3688541288,11344.5904568757,10559.0442717505,9202.5684076948,8288.6992301658,8086.9585421766,16228.6522898535
d198,15780,138184.7701417698,19168.7506885666,19053.4687836341,25654.1813477948,24222.66705273013,21567.8473375016,19420.2111955332,19685.0954936076,37588.334096376246
d493,35002,391937.1349379937,60956.0812656068,59034.2167783559,98153.187049765,94867.7012662426,79285.1400353493,62682.7625481461,63366.9905161533,170802.6455462136
d657,48912,765441.5458546644,112042.9533648085,115747.4333953604,180351.4551516391,173761.3197046427,149756.5082275127,118621.2049064767,118906.5189117149,340469.149593893
d1291,50801,1602434.9252922705,262757.1723921812,267187.0432901682,429470.7636228519,406249.1502795949,372293.004445378,273084.5425957272,277713.4876081343,793907.9315764069
eil51,426,1125.4281108222,470.3961659842,430.8903566036,552.7499849001,440.3314970616,573.5685827573054,432.683811457,437.7459913949,574.706503944
eil101,629,2606.3506393927,857.6512747993503,722.9543675001,1171.5270642363,810.6627911963,1188.5340506404,715.6467591604,735.3576802226,1327.2363225305
fl417,11861,411328.4056972039,21977.2924120002,22005.1408739402,43591.8203066986,39751.9289709176,31647.5270065732,22990.1092225365,22703.1849632816,101397.10507171936
kroA100,21282,122141.196930148,25174.966468824,25272.4408976025,26317.8894914563,26027.4369394443,24893.9585010652,24948.3453219488,24671.9480706231,34084.0458904229
kroB100,22141,116527.4704039715,25908.5193640374,25998.4815770338,26938.5397408869,26499.1425178492,25441.4762386147,24769.132234805395,25076.395302191,34048.16667087516
kroC100,20749,120094.8608886714,24052.9292183079,25184.4132736322,25801.0371675855,25862.0259957318,24571.661843223,24555.6085424487,24489.9967234394,33464.7680288411
kroD100,21294,117127.3391194495,24726.0863856391,25248.6645301201,25945.7626541285,26082.9853068944,25294.8868873488,24110.3766224595,24405.0828941584,33828.4439264755
kroE100,22068,120173.53177717536,25735.8987035518,25707.1714267539,26202.7254829328,26672.3360100337,25364.2480918131,25322.4263302092,24657.4072540272,34923.9690642489
kroA150,26524,195119.9857779591,32502.7289130362,33251.7774501724,37952.0713677864,36991.7042952452,35222.9616170446,33061.5986397381,32789.9449821613,56359.2599488232
kroB150,26130,190739.2255350568,31868.4287298194,32436.1605960771,36533.2719478975,37048.761738073,34255.5583909315,32456.5697057113,32274.7048927711,54632.0583676682
kroA200,29368,268689.5246941621,39526.6988342418,39950.6107498284,50264.7949154197,48628.83132627,43704.8946433455,40112.4266326656,39740.4357189498,78656.9270786871
kroB200,29437,261651.7902003327,40087.1424426565,40150.8719857587,48800.2965010956,48383.9228876279,43385.2986267634,40478.0369801321,39951.9298935739,78198.9634122799
lin105,14379,89453.23540037844,17121.4373239934,16827.5364734307,18600.8786283464,18276.21854767955,16854.9102192542,17103.39040389,16782.967758506,25362.9641579093
lin318,42029,493368.2787856745,65594.5302176738,68010.2520417578,91258.608782564,88507.0937762675,81543.0508879567,67456.8814610362,67606.125075541,165228.91884871633
p654,34643,1650806.933036154,86434.6682510401,87102.2884448187,134727.5212669522,128868.8875338808,116386.7685585514,83294.0595082996,88617.1433119822,249186.91049014
pcb442,50778,672122.4000620084,95328.3172548502,95464.9421045489,134255.7392027942,128319.726353486,116896.2817265338,96267.3962968098,96609.3980247404,240862.88496266413
pcb1173,56892,1296015.8108960292,216093.6807783959,213743.601004125,351329.6584249843,343280.4249047877,297133.3631492361,222546.6161471556,222314.0514918689,648742.8466839646
pr107,44303,338548.6099691898,50380.0096733018,51899.3474013419,52790.1822445138,54230.9288771611,52040.9669390808,52660.5495668608,51964.7715909103,62204.78195399879
pr124,59030,473151.8192465716,74144.7596996396,71483.4521211601,75794.6021716868,73471.3124148867,76231.1406838235,73142.2099468717,73789.4729917082,89200.2262321444
pr136,96772,578286.5929431894,118390.2129358891,118745.9253217626,117955.7387538283,119455.8744675451,115425.8400179002,117680.9668655331,118553.5466259021,135051.6494912957
pr144,58537,581433.6349004119,71936.6871022992,71500.7674460834,76845.8850361691,75409.8119379222,76446.925460276,77107.2830231378,74967.4844395082,86690.1632196995
pr152,73682,748630.2212011651,96556.8187179475,93132.5610561221,96380.091142868,95288.7089960734,96376.9698283226,93397.8196225057,94632.6115612262,109979.95767871
pr226,80369,1233805.0941765355,121778.4239791898,118931.9660385173,128337.9464972183,128944.1614448251,129910.0282477127,117023.9771635975,118148.1355073783,148177.7862710353
pr299,48191,593916.8288147778,79705.422108722,78151.360449389,101548.8391880361,97663.2189990288,89051.8687565954,78091.6634639304,77600.754296356,171072.425837691
rat99,1211,5819.130709644424,1360.9381141278,1380.9325278938,2168.0100569375,1624.799174929435,1828.667588056,1409.1576065055,1408.0859137875,2628.6340658636
rat195,2323,18374.622309908253,3097.7567802705,3089.8912498041,6227.1576469882,4432.444973447839,4475.7082282396,3212.4540167285,3335.4781487542,8109.0262784374
rat575,6773,100916.3326643977,14029.494457793,13947.2588185305,35997.4254464888,29249.9866677201,23868.3684862878,15311.1702278567,16124.9159153114,55647.65877396405
rat783,8806,162490.2885291392,22933.8736644338,23103.6944509359,59736.1353255259,51157.7339119589,40186.4488708662,25214.2140925035,27218.5344889985,95155.8210020221
rd100,7910,42140.26221356991,9005.4689479712,9306.393368488,10651.2335792817,10465.1744989699,9528.4860677337,9007.3382882103,8812.2283634674,13864.053611198
rd400,15281,185383.6661991709,26506.3532127734,25867.8516938375,49333.9210334505,45679.2428814228,36282.2239538069,27871.124020582,28601.8800826606,83998.7408858837
st70,675,2590.1644074384,724.5229052441,723.4963898301,1036.2358381361,751.3064752091,898.806404322,711.583069448698,728.1233662822,1132.7764560105
rl1304,252948,8062742.897254541,1455638.0929404886,1455663.4833242495,1508856.1950175231,1528698.9276662618,1537452.646917729,1441252.7090696918,1432121.709696576,1720182.3392399766
rl1323,270199,8313302.804641458,1493637.4539661645,1501545.4895897205,1556521.976525014,1549918.9501310324,1572773.5726929416,1487791.4489762771,1496738.1347869923,1735660.084579945
ts225,126643,1228858.7690044318,190975.3756000695,193668.337828865,194100.252295977,190979.5042500604,196928.2290620378,192228.0299308479,188505.9583038576,234512.3397443564
tsp225,3919,33918.22474371,5396.3629627182,5265.3389435437,10567.3675485563,8379.5132466204,7440.4183957192,5580.347078473,5709.5929851927,15402.5126896824
pr76,108159,376112.4768684986,117783.5369179695,117300.8296639869,111475.33811717186,111498.50073063475,111904.7595602794,115858.9717124054,114742.7567429126,116481.0479758008
u159,42080,330941.1106796397,56179.7922267469,56663.0332852248,60024.3009104591,60702.6846596315,58912.278249438,55954.3916208673,55467.9346457361,86618.549972725
u574,36905,596821.1399453521,82396.8359136507,82145.9500654649,134714.9352532924,127928.9009517141,109066.3237693179,83776.3337284038,86089.907697463,249831.8215508647
u724,41910,775999.1471414053,106724.1854371717,106358.0674435058,178610.1623311376,167771.574958722,144738.0121788689,110826.3338715334,111594.7585803054,343914.8514466294
u1060,224094,5563515.645404404,805388.0243753946,820655.1106090163,898751.4061602373,899843.7449562409,905680.244542816,822740.0942960879,825689.3652019802,1109023.8737769937
vm1084,239297,7035134.613554531,1018776.8274948344,1010622.8569745608,1056494.0568134864,1083058.5782741418,1082974.4127993109,1020744.6978107442,1012219.9818117676,1221948.029931266
